"Y","Enhanced_GVI_quantification","Transaction_including_the_first_floor_versus_not","Housing_age","Transaction_year","Condominium_versus_not","Apartment_versus_not","Studio_versus_not","Detached_House_versus_not","Storefront_versus_not","Commercial_building_versus_not","mrt_d","school_d","park_d"
307938,7.461709,0,12,108,0,0,1,0,0,0,124.8782742,367.607996,88.41869215
308203,21.686704,1,41,108,0,1,0,0,0,0,722.3319248,294.8982516,119.6593834
255688,12.138733,0,14,108,0,0,0,0,0,0,372.0561507,346.318112,90.03575948
309502,12.136505,0,12,108,1,0,0,0,0,0,98.2930404,273.7095112,68.09963595
346950,5.048705,0,2,108,0,0,0,0,0,0,89.49728558,230.2703239,125.9432534
265526,8.205285,0,7,108,0,0,1,0,0,0,347.4512005,292.7902197,97.81794585
291439,18.427008,1,42,108,1,0,0,0,0,0,564.9881985,277.9530433,90.33856246
258857,16.507481,1,34,108,0,0,0,0,0,0,172.6325497,122.0361256,96.37542464
295817,19.06506,0,11,108,0,0,0,0,0,0,635.2620876,219.2548142,197.3053461
291912,12.378643,0,13,108,0,0,1,0,0,0,89.54475447,242.2673137,227.1355812
294157,5.630249,0,1,108,0,0,0,0,0,0,325.7906235,140.155801,75.26014539
345257,8.212331,0,9,108,0,0,0,0,0,0,98.99183623,77.98308088,162.8015813
300806,5.499286,0,2,108,0,0,0,0,0,0,263.1567931,290.0162348,39.80479862
306099,13.320849,0,1,108,0,0,0,0,0,0,124.376046,112.2807243,136.9469899
256739,5.083006,1,48,108,0,1,0,0,0,0,583.4493572,355.1265842,83.16451034
256805,8.719688,0,10,108,0,0,1,0,0,0,447.2519554,245.5100247,116.4210293
292200,19.381354,0,4,108,0,0,0,0,0,1,599.5822661,81.20513586,86.44170464
257916,8.436308,0,10,108,0,0,1,0,0,0,340.9102627,252.5139879,69.14030461
292205,19.381354,0,4,108,0,0,0,0,0,1,599.5822661,81.20513586,86.44170464
268107,13.765338,0,37,108,1,0,0,0,0,0,375.9750747,192.3728803,82.57394762
256923,11.631239,1,12,108,1,0,0,0,0,0,521.9692355,375.6357694,139.900531
447793,6.980016,0,4,108,0,0,0,0,0,0,66.47441474,315.8959948,339.9098632
310272,5.282212,1,4,108,0,0,0,0,0,0,32.31076782,245.0372873,188.0140288
302216,3.593347,0,10,108,0,0,0,0,0,1,61.82635952,566.9715125,55.92609028
268235,26.392143,0,7,108,1,0,0,0,0,0,289.6639381,57.76762244,202.1769549
311839,5.282212,1,4,108,0,0,0,0,0,0,37.23383643,236.0842089,198.240028
376288,5.630249,0,5,108,1,0,0,0,0,0,376.2379738,227.3047665,29.86249419
