"Y","Enhanced_GVI_quantification","Transaction_including_the_first_floor_versus_not","Housing_age","Transaction_year","Condominium_versus_not","Apartment_versus_not","Studio_versus_not","Detached_House_versus_not","Storefront_versus_not","Commercial_building_versus_not","mrt_d","school_d","park_d"
45088,11.770893,0,11,107,0,0,0,0,0,0,2801.730563,784.7813248,131.5542239
26535,16.368833,0,38,107,0,1,0,0,0,0,1096.283791,184.7170545,397.3816267
36132,5.647413,1,42,107,0,0,0,1,0,0,1369.744713,608.4027133,456.1595991
41551,2.558224,0,39,107,0,1,0,0,0,0,243.383365,228.9842335,233.6958363
43174,3.243843,0,25,107,0,0,0,0,0,0,392.5511583,519.1440665,116.3858663
47059,13.130866,0,12,107,0,0,0,0,0,0,1171.430568,296.1363021,368.7119053
48747,1.147076,1,48,107,0,0,0,1,0,0,749.8131624,455.6732685,357.4120628
36320,6.305052,0,29,107,0,0,0,0,0,0,426.6373891,596.2150494,203.4193684
37191,14.912526,0,37,107,0,1,0,0,0,0,220.5173284,225.7945928,98.9735051
27183,6.554978,0,37,107,0,0,0,0,0,0,535.2890386,96.27546996,272.2651043
45937,11.547849,0,11,107,0,0,0,0,0,0,1691.893218,252.4243958,82.35025379
39052,11.138429,0,29,107,0,0,0,0,0,1,485.1695787,314.1835457,265.7450474
43738,13.242685,0,32,107,0,0,0,0,0,0,720.8020754,193.862446,111.5007137
25241,10.688142,0,20,107,0,0,0,0,0,0,366.7681915,501.5038018,96.18610439
15285,4.531125,0,39,107,0,1,0,0,0,0,152.3509178,165.5575283,146.8925476
47700,6.328727,0,21,107,1,0,0,0,0,0,353.6410049,134.1990498,44.97461312
43064,8.101156,0,6,107,0,0,0,0,0,0,2195.33933,321.8187332,135.1650734
8188,7.687826,0,33,107,0,0,1,0,0,0,508.9372923,501.0230247,58.92595865
32180,7.621975,0,36,107,0,0,1,0,0,0,52.81723138,170.1535539,315.5691743
24174,4.063879,0,47,107,0,1,0,0,0,0,259.2385646,364.8531101,125.0928938
39063,4.760551,0,23,107,0,0,1,0,0,0,439.8883678,346.9225271,530.1535786
