"Y","Enhanced_GVI_quantification","Transaction_including_the_first_floor_versus_not","Housing_age","Transaction_year","Condominium_versus_not","Apartment_versus_not","Studio_versus_not","Detached_House_versus_not","Storefront_versus_not","Commercial_building_versus_not","mrt_d","school_d","park_d"
109649,5.954073,1,46,107,0,0,0,1,0,0,443.6939246,330.1985631,246.7434447
124157,2.260183,1,44,107,0,0,0,1,0,0,1808.577141,299.5522113,342.666452
88629,11.826242,1,45,107,0,0,0,1,0,0,872.2785245,218.3013271,97.57602927
90391,8.083938,0,5,107,0,0,0,0,0,0,604.6044781,216.4974562,81.78480985
110237,11.539345,0,10,107,0,0,0,0,0,0,188.8904635,134.4293823,101.8209396
88449,2.520278,1,62,107,0,0,0,1,0,0,847.6930722,436.7645797,198.470822
92741,12.389972,0,1,107,1,0,0,0,0,0,718.0217676,322.8543014,417.64816510000003
126016,15.758638,1,13,107,0,0,0,1,0,0,1209.766114,348.5598851,147.8293766
112132,6.33,1,42,107,0,0,0,1,0,0,340.3674978,360.6618789,84.23968206
108896,3.911882,1,39,107,0,0,0,1,0,0,875.679807,334.4911304,108.805659
129282,19.5375,1,31,107,0,0,0,0,1,0,467.0355277,193.6766546,110.4955244
94467,17.384823,1,35,107,0,0,0,1,0,0,1163.010556,200.3323059,216.3673087
93151,8.316752,0,4,107,0,0,0,0,0,0,334.4706508,295.0965866,471.5290777
88662,12.75825,0,1,107,0,0,0,0,0,0,1541.80332,671.3886498,148.8998472
136880,3.629405,1,43,107,0,0,0,1,0,0,1221.550446,119.1613009,297.349942
98105,9.597589,1,5,107,0,0,0,0,0,0,325.6061494,259.6088868,362.9574832
90827,5.178424,0,1,107,0,0,0,0,0,0,248.13443,265.0361672,270.286323
93127,2.662696,1,45,107,0,0,0,1,0,0,582.8991445,199.8160167,246.8838698
112982,6.959718,1,39,107,0,1,0,0,0,0,70.83458877,519.6516888,294.3387965
85604,11.242721,0,4,107,0,0,0,0,0,0,169.961301,222.6986262,124.5786932
91665,4.614315,1,42,107,0,0,0,0,1,0,722.4775273,253.606245,406.4890947
108432,10.170344,1,11,107,0,0,0,1,0,0,386.2047027,120.4410655,230.5446634
85626,10.370221,0,0,107,0,0,0,0,0,0,239.7839818,158.0447376,187.3154611
124831,10.391635,1,45,107,0,0,0,1,0,0,176.6813922,314.2572171,308.0752685
89456,10.370221,0,0,107,0,0,0,0,0,0,239.7839818,158.0447376,187.3154611
85874,13.318765,1,24,107,0,0,0,1,0,0,1224.150389,138.5424239,154.3791914
89222,10.370221,0,0,107,0,0,0,0,0,0,239.7839818,158.0447376,187.3154611
95923,15.266682,1,47,107,0,0,0,1,0,0,292.2445442,254.4096146,34.06818942
87969,11.208106,1,0,107,0,0,0,1,0,0,713.1272736,95.80831267,119.7377278
89050,10.793115,1,20,107,0,0,0,0,1,0,425.3325263,289.0969506,58.72863985
143623,11.985885,1,50,107,0,0,0,1,0,0,334.4877272,619.1472154,26.61563004
98707,3.63672,1,32,107,0,0,0,1,0,0,374.8353959,318.4176954,241.9979554
86476,8.831846,1,48,107,0,0,0,1,0,0,526.185478,215.4820735,113.8083029
97358,6.119547,1,14,107,0,0,0,1,0,0,1041.977027,451.0419487,111.6141277
112560,5.435491,1,47,107,0,0,0,1,0,0,501.5946462,159.5932093,87.78289111
92565,8.256042,0,3,107,0,0,0,0,0,0,101.1114214,557.5504596,273.9642051
93505,5.743949,1,39,107,0,0,0,0,1,0,1173.129865,386.670996,254.9922977
104572,2.509059,1,39,107,0,0,0,1,0,0,375.3506506,346.3439479,224.2956026
85461,12.75825,0,1,107,0,0,0,0,0,0,1548.08013,694.8242473,122.8537867
160169,18.467197,0,3,107,0,0,0,0,0,0,237.0829116,298.7009216,162.3408307
